معیار;زیرمعیار;کد رویکرد;عنوان رویکرد;مصادیق مستندات;هدف رویکرد;فرایندهای مرتبط;اهداف و استراتژی های مرتبط;اهداف راهبردی مرتبط;شاخص‌های مرتبط از بانک شاخص‌ها;شرح جاری سازی;مستندات مرتبط
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.1;تدوین فلسفه وجودی، ماموریت و چشم‌انداز;چشم انداز| بیانیه ماموریت| اهداف کلان| ارزش های محوری;برگزاری کارگاه‌های مشارکتی با ذی‌نفعان برای تدوین ماموریت و چشم‌انداز. از ابزارهایی مانند نظرسنجی آنلاین و تحلیل SWOT برای شناسایی نیازها و انتظارات استفاده می‌شود.;مدیریت استراتژیک (MOP-111)| بازنگری مدیریت (MOP-122);توسعه نظام‌های مدیریت و تعالی سازمانی| توسعه فرهنگ مطلوب سازمانی|افزایش رضایت ذینفعان| توسعه نظام‌های مدیریت و تعالی سازمانی;توسعه نظام های مدیریت و تعالی سازمانی| توسعه فرهنگ مطلوب سازمانی;سطح آگاهی از استراتژی‌های سازمانی | نمره اثربخشی ارتباطات سازمانی | میانگین نمره فرهنگ سازمانی | درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | هم‌سویی اهداف فردی، تیمی و سازمانی;;1|2
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.2;مشارکت ذی‌نفعان در تعیین ارکان جهت ساز;نظرسنجی ذینفعان| جلسات هم اندیشی ذینفعان| گزارش تحلیل نظرات;شناسایی و دعوت از ذی‌نفعان کلیدی (کارکنان، مشتریان، تأمین‌کنندگان) برای ارائه نظرات و پیشنهادات از طریق جلسات گروهی و مصاحبه‌های عمیق.;مدیریت ذینفعان و روابط بیرونی (MOP-132)| شناسایی و تحلیل نیازها و انتظارات سهامداران و ذی‌نفعان کلیدی (3.3.1);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان| توسعه ارتباط با مشتری|افزایش رضایت ذینفعان;تعامل اثربخش و پاسخگو;میانگین نمره تجربه کلی ذی‌نفعان | رضایت کلی جامعه | رضایت مالکان، سرمایه‌گذاران و سهامداران | میانگین نمره تجربه شرکا در تعامل با سازمان | درصد برآورده کردن انتظارات جامعه | نمره پایداری روابط با شرکا و تأمین‌کنندگان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.3;بازبینی منظم تحقق چشم انداز;صورتجلسات کمیته استراتژی|  مستندات بازنگری استراتژی و ارکان جهت ساز;ایجاد یک کمیته داخلی برای بررسی و به‌روزرسانی چشم‌انداز هر سال یا در صورت تغییرات عمده بازار. استفاده از داده‌های بازار و گزارش‌های تحلیلی برای این بازبینی.;مدیریت استراتژیک (MOP-111)| بازنگری مدیریت (MOP-122);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;ارتقای اثربخش مدیریت سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | نمره بازسازی و تغییر ساختار | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | نمره عملکرد پروژه‌ها و فرآیندها | نمره پایداری مالی و امنیت سازمان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.4;انتشار و اطلاع رسانی ارکان جهت ساز;نامه های اتوماسیون مربوطه| وب سایت| بروشورها و تابلو اعلانات;طراحی و اجرای یک برنامه ارتباطی شامل ایمیل، وب‌سایت و جلسات عمومی برای انتشار ماموریت و چشم‌انداز به همه کارکنان.;مدیریت ذینفعان و روابط بیرونی (MOP-132)| بازاریابی و برندینگ (COP-251);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;سطح آگاهی از استراتژی‌های سازمانی | نمره اثربخشی ارتباطات سازمانی | نمره اثربخشی ارتباطات درون‌سازمانی | میانگین نمره شهرت برند | شفافیت و اطلاع‌رسانی اهداف، فلسفه، ارزش‌ها، چشم‌انداز و استراتژی سازمان به کارکنان | اثربخشی کانال‌های ارتباطی بین کارکنان و مدیریت;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.5;ارزیابی هم‌راستایی;جدول KPI | داشبوردهای BI;تعریف KPIها (شاخص‌های کلیدی عملکرد) برای ارزیابی هم‌راستایی فعالیت‌ها با ماموریت و چشم‌انداز. این KPIها به‌صورت ماهانه بررسی می‌شوند.;مدیریت استراتژیک (MOP-111)| پایش-تحلیل و بهبود مستمر (MOP-112);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام‌های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | هم‌سویی اهداف فردی، تیمی و سازمانی | نسبت ارزیابی عملکرد | سیستم ارزیابی عملکرد کارکنان | نمره کیفیت محصولات و خدمات;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.6;الهام بخشی رهبران در ارکان جهت ساز;تصاویر جلسات مدیران ارشد با کارکنان| بازخورد نظرات کارکنان;رهبران سازمان باید به‌طور مستمر در جلسات و تصمیم‌گیری‌ها فلسفه و چشم‌انداز را مدل‌سازی کنند و از مثال‌های عملی برای الهام‌بخشی به کارکنان استفاده کنند.; مدیریت عملکرد و فرهنگ سازمانی (SOP-313);توسعه نظام‌های مدیریت و تعالی سازمانی|توسعه فرهنگ مطلوب سازمانی;توسعه فرهنگ مطلوب سازمانی;نمره اعتماد به رهبری و مدیریت | رفتار و عملکرد رهبران سازمان | میانگین نمره فرهنگ سازمانی | نمره اثربخشی ارتباطات سازمانی | تعهد کارکنان | مشارکت کارکنان | میزان دلبستگی و تعلق خاطر کارکنان به سازمان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-الف: تعریف فلسفه وجودی و چشم‌انداز;1.1.7;شناسایی ذی‌نفعان;نقشه اکوسیستم | جدول شناسایی ذینفعان| ماتریس ذی‌نفعان کلیدی;ایجاد یک نقشه اکوسیستم و ذی‌نفعان با استفاده از روش‌های تحلیل شبکه و شناسایی ذی‌نفعان کلیدی بر اساس تأثیر و علاقه.;مدیریت ذینفعان و روابط بیرونی (MOP-132)| شناسایی و تحلیل نیازها و انتظارات سهامداران و ذی‌نفعان کلیدی (3.3.1);توسعه ارتباط با مشتری|افزایش رضایت ذینفعان;تعامل اثربخش و پاسخگو;میانگین نمره تجربه کلی ذی‌نفعان | رضایت کلی جامعه | رضایت مالکان، سرمایه‌گذاران و سهامداران | میانگین نمره تجربه شرکا در تعامل با سازمان | نمره مدیریت ارتباطات با تأمین‌کنندگان | میانگین نمره ارزیابی تأمین‌کننده;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ب: شناسایی و درک نیازهای ذی‌نفعان;1.2.1;تحلیل رفتار ذی‌نفعان;جدول نیازها انتظارات ذینفعان | استراتژی تعامل و ارتباط با ذینفعان;استفاده از فرایندهای مدیریت ارتباط با مشتریان برای تحلیل رفتار مشتریان و شناسایی الگوهای تصمیم‌گیری آن‌ها.;مدیریت ذینفعان و روابط بیرونی (MOP-132)| مدیریت رضایت و شکایت مشتریان (COP-253);توسعه ارتباط با مشتری| توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی مشتری (CSAT) | نرخ حفظ مشتریان | سودآوری مشتری | ارزش دوره حیات مشتری | نرخ جابجایی مشتریان | شکایات مشتریان | میزان وفاداری و کیفیت تجربه کلی مشتریان از تعامل با سازمان | درجه رضایت مشتریان از کیفیت محصول یا خدمت، زمان تحویل، قیمت، ارتباطات، کانال‌های فروش و خدمات پس از فروش | مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ب: شناسایی و درک نیازهای ذی‌نفعان;1.2.2;جلسات گروه متمرکز و طوفان فکری با ذینفعان;تصاویر جلسات گروه متمرکز ذینفعان| فهرست ایده‌ها و نتایج جلسات دوره ای ذینفعان;برگزاری جلسات فکری با ذی‌نفعان برای شناسایی نیازها و انتظارات جدید. این جلسات به‌صورت فصلی برنامه‌ریزی می‌شوند.;مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه ارتباط با مشتری|افزایش رضایت ذینفعان;تعامل اثربخش و پاسخگو;میانگین نمره تجربه کلی ذی‌نفعان | میانگین نمره تجربه شرکا در تعامل با سازمان | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات | تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | نمره تعهد اجتماعی سازمان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ب: شناسایی و درک نیازهای ذی‌نفعان;1.2.3;توسعه قابلیت ها و استراتژی‌های مشارکت با ذینفعان;جدول مصادیق و مثال های مشارکت و توسعه قابلیت ها با ذینفعان مختلف;طراحی استراتژی‌های خاص برای هر گروه ذی‌نفع (کارکنان، مشتریان، تأمین‌کنندگان) و اجرای آن‌ها از طریق کمپین‌های ارتباطی و آموزشی.;مدیریت ذینفعان و روابط بیرونی (MOP-132)|  برنامه ریزی جذب، خروج و انتقال کارکنان (SOP-311);پیاده‌سازی نظام آموزش مستمر و هدفمند| طراحی مسیر شغلی و برنامه‌های انگیزشی|افزایش رضایت ذینفعان| توانمندسازی نیروی انسانی;ارتقای تعلق سازمانی| توسعه جانشین‌پروری;میانگین نمره آموزش و توسعه کارکنان | نرخ بازده سرمایه گذاری در آموزش | فرصت‌های آموزش و توانمندسازی کارکنان | ارتقای توانمندی‌ها و مهارت‌های تأمین‌کنندگان و شرکا | درصد تعهد به فعالیت‌های هم‌آفرینی | توسعه همکاری‌های شبکه‌ای و ایجاد هم‌افزایی‌ها | میزان یادگیری و آموزش مستمر کارکنان;;
